z	CT	CA	CG	CC	GA	GT	GC	GG
0	0.16884	0.00261	0.00157	0.82697	0.11747	0.00239	0.0006	0.87955	
1	0.11171	0.00201	0.00067	0.88562	0.08077	0.00868	0.00334	0.90721	
2	0.06454	0.00000	0.00188	0.93358	0.04718	0.00721	0.00197	0.94364	
3	0.04914	0.00000	0.00064	0.95022	0.03771	0.00715	0.0013	0.95384	
4	0.03954	0.00000	0.00000	0.96046	0.02901	0.00802	0.00062	0.96235	
5	0.0857	0.00062	0.00062	0.91307	0.02143	0.00796	0.00000	0.97061	
6	0.02611	0.00000	0.00059	0.97329	0.02534	0.0065	0.00065	0.96751	
7	0.01963	0.00063	0.00000	0.97973	0.01667	0.00641	0.00128	0.97564	
8	0.01415	0.00000	0.00000	0.98585	0.01549	0.01191	0.00000	0.9726	
9	0.01898	0.00000	0.00000	0.98102	0.01437	0.00437	0.00000	0.98126	
10	0.01619	0.00000	0.0006	0.98321	0.00989	0.00557	0.00000	0.98454	
11	0.07901	0.00059	0.00000	0.9204	0.0113	0.00753	0.00188	0.97928	
12	0.01482	0.00124	0.00000	0.98394	0.01612	0.00434	0.00000	0.97954	
13	0.01056	0.00000	0.00000	0.98944	0.00921	0.00789	0.00000	0.98289	
14	0.01244	0.00059	0.00000	0.98697	0.01141	0.0038	0.00063	0.98415	
15	0.013	0.00000	0.00062	0.98638	0.00756	0.00504	0.00000	0.9874	
16	0.00951	0.00000	0.00000	0.99049	0.01496	0.00479	0.0006	0.97965	
17	0.01904	0.00056	0.00000	0.9804	0.01093	0.00514	0.00000	0.98393	
18	0.01431	0.00000	0.00055	0.98514	0.01803	0.00684	0.00124	0.97388	
19	0.02173	0.00186	0.00186	0.97455	0.01536	0.00384	0.00000	0.98079	
20	0.01805	0.00000	0.00062	0.98133	0.00833	0.00321	0.00000	0.98846	
21	0.01433	0.00172	0.00057	0.98337	0.01224	0.0034	0.00068	0.98367	
22	0.01732	0.0006	0.00000	0.98208	0.01203	0.00316	0.00063	0.98418	
23	0.01727	0.00000	0.00000	0.98273	0.01433	0.00456	0.00000	0.98111	
24	0.01404	0.00061	0.00000	0.98535	0.01443	0.00328	0.00066	0.98164	
25	0.01925	0.00062	0.00000	0.98012	0.00825	0.00508	0.00063	0.98604	
26	0.01709	0.00197	0.00066	0.98028	0.00803	0.00201	0.00000	0.98996	
27	0.01279	0.00122	0.00000	0.98599	0.01402	0.00122	0.00000	0.98476	
28	0.01538	0.00000	0.00000	0.98462	0.01471	0.0049	0.00061	0.97978	
29	0.01305	0.00000	0.00000	0.98695	0.01051	0.0046	0.00066	0.98423	
